with,replace
Egypt,"Egypt, Arab Rep."
Bosnia and Herzegovina,Bosnia-Herzegovina
"Congo, Dem. Rep. of","Congo, Dem Rep."
"Congo, Rep. of","Congo, Rep."
"China, P.R.: Hong Kong","Hong Kong SAR, China"
"Iran, I.R. of","Iran, Islamic Rep."
Korea,"Korea, Rep."
Lao People’s Dem. Rep.,Lao PDR
Macedonia,"Macedonia, FYR"
Russia,Russian Federation
Venezuela,"Venezuela, RB"
